   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.6596e+04,8.4910e-01,4.3807e-02
1.7179e+04,8.5008e-01,4.3660e-02
1.7783e+04,8.5106e-01,4.3514e-02
1.8408e+04,8.5203e-01,4.3367e-02
1.9055e+04,8.5300e-01,4.3222e-02
1.9724e+04,8.5397e-01,4.3077e-02
2.0417e+04,8.5493e-01,4.2932e-02
2.1135e+04,8.5589e-01,4.2788e-02
2.1878e+04,8.5685e-01,4.2644e-02
2.2646e+04,8.5781e-01,4.2501e-02
2.3442e+04,8.5876e-01,4.2358e-02
2.4266e+04,8.5970e-01,4.2216e-02
2.5119e+04,8.6065e-01,4.2073e-02
2.6002e+04,8.6159e-01,4.1931e-02
2.6915e+04,8.6253e-01,4.1790e-02
2.7861e+04,8.6346e-01,4.1648e-02
2.8840e+04,8.6439e-01,4.1507e-02
2.9854e+04,8.6532e-01,4.1366e-02
3.0903e+04,8.6625e-01,4.1225e-02
3.1989e+04,8.6717e-01,4.1085e-02
3.3113e+04,8.6809e-01,4.0944e-02
3.4277e+04,8.6900e-01,4.0804e-02
3.5481e+04,8.6992e-01,4.0664e-02
3.6728e+04,8.7082e-01,4.0524e-02
3.8019e+04,8.7173e-01,4.0384e-02
3.9355e+04,8.7263e-01,4.0244e-02
